"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a13 t1",0.9262258,0.0681742,0.639829,0.9888554,"     ",""
"S g12 c1 a17 t5",0.8235648,0.0787797,0.6172862,0.9310757,"     ",""
"S g12 c1 a21 t9",0.0805737,0.0556307,0.0197159,0.2763302,"     ",""
"S g13 c1 a25 t12",0.732254,0.0847613,0.5395984,0.8645318,"     ",""
"S g17 c1 a25 t8",0.993182,0.0020586,0.9876967,0.9962311,"     ",""
"S g21 c1 a25 t4",0.9974542,0.0030231,0.974353,0.9997526,"     ",""
"S g60 c1 a73 t11",0.1564589,0.3767778,0.0006885299,0.9803654,"     ",""
"S g62 c1 a73 t8",0.908083,0.2357843,0.0374625,0.9996014,"     ",""
"S g66 c1 a73 t2",0.9637318,0.1050633,0.068395,0.999896,"     ",""
"r g17 c1 a25 t8",0.9999988,0.0051279,4.464777e-303,1,"     ",""
"r g62 c1 a73 t8",0.1287952,0.2966234,0.0008302208,0.9633739,"     ",""
"R g12 c1 a13 t1",0.0354718,0.0128159,0.0173427,0.0711795,"     ",""
"R g12 c1 a17 t5",0.0449927,0.0158287,0.0223736,0.0884111,"     ",""
"R g12 c1 a21 t9",0.0199966,0.0108302,0.0068598,0.0568507,"     ",""
"R g13 c1 a25 t12",0.0127414,0.0050717,0.0058217,0.0276569,"     ",""
"R g17 c1 a25 t8",0.0289361,0.0041194,0.0218673,0.0382005,"     ",""
"R g21 c1 a25 t4",0.022732,0.0056918,0.0138823,0.0370116,"     ",""
"R g60 c1 a73 t11",0.0083979,0.0088055,0.0010648,0.063044,"     ",""
"R g62 c1 a73 t8",0.0191792,0.0182425,0.0029141,0.1156959,"     ",""
"R g66 c1 a73 t2",0.0150347,0.014502,0.0022342,0.0942483,"     ",""
"p g12 c1 a14 t2",0,0,0,0,"Fixed",""
"r g12 c1 a13 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a13 t1",1,0,1,1,"Fixed",""
