"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.874277,0.0219004,0.8247396,0.9113182,"     ",""
"S g12 c1 a16 t5",0.9374901,0.0138346,0.9042333,0.9597124,"     ",""
"S g12 c1 a20 t9",0.7285625,0.0454384,0.6311142,0.8080957,"     ",""
"S g14 c1 a25 t12",0.826172,0.0222265,0.7782318,0.8655395,"     ",""
"S g18 c1 a25 t8",0.963711,0.0079843,0.9443703,0.9764949,"     ",""
"S g22 c1 a25 t4",0.9248893,0.0108166,0.9007452,0.9435285,"     ",""
"S g62 c1 a73 t12",0.4880545,0.1075168,0.2908614,0.6890372,"     ",""
"S g66 c1 a73 t8",0.841942,0.0647585,0.672377,0.9325504,"     ",""
"S g70 c1 a73 t4",0.7118084,0.0930325,0.5038242,0.8573032,"     ",""
"r g18 c1 a25 t8",0.5195983,0.1149327,0.3049099,0.7272852,"     ",""
"r g66 c1 a73 t8",0.0724986,0.0440792,0.0211703,0.2202693,"     ",""
"R g12 c1 a12 t1",0.0332543,0.0042712,0.0258274,0.0427233,"     ",""
"R g12 c1 a16 t5",0.0506017,0.0058839,0.0402371,0.0634596,"     ",""
"R g12 c1 a20 t9",0.022278,0.0034583,0.0164181,0.0301654,"     ",""
"R g14 c1 a25 t12",0.0316506,0.0033,0.0257842,0.0387987,"     ",""
"R g18 c1 a25 t8",0.0710248,0.0033823,0.0646746,0.0779466,"     ",""
"R g22 c1 a25 t4",0.0470227,0.0036272,0.040403,0.0546653,"     ",""
"R g62 c1 a73 t12",0.0390514,0.0144862,0.0187128,0.0797001,"     ",""
"R g66 c1 a73 t8",0.0868069,0.0299368,0.0433782,0.1661629,"     ",""
"R g70 c1 a73 t4",0.0578033,0.0205036,0.0284966,0.1137217,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
