"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1303,0,0,0,0,0.001,0.0015,5515,3972,184,92,333,92,13,1287,5515,21,3972
2,3663696.55877883,2500374.16574807,323300,0.129253367294227,0.0645180510234625,61247,1225,NA,0,NA,0,0.0023,0.0033,11979,8311,434,232,781,202,24,1544,6464,60,8311
3,3475550.33801781,2399598.81188563,106460,0.0443194499071432,0.0221224761126094,44701,894,NA,0,NA,0,0.0028,0.004,14106,9612,170,94,341,76,6,510,2127,12,9612
4,3435813.93601652,2386401.57712481,149571,0.0626314263710158,0.0312630738128393,86829,1737,NA,0,NA,0,0.0033,0.0048,17096,11447,303,164,595,139,22,704,2990,15,11447
5,3440269.83438974,2370156.16755933,207690,0.0875700411128721,0.0437114212102957,119947,2399,NA,0,NA,0,0.004,0.0059,21248,13905,510,269,912,241,37,972,4152,49,13905
6,3413689.66660549,2331449.30768616,258700,0.110908941206503,0.0553612557840029,138537,2771,NA,0,NA,0,0.005,0.0072,26421,16902,735,383,1439,352,41,1171,5173,80,16902
7,3305940.7399644,2260415.69761415,391364,0.173083137986633,0.0863960990857792,226157,4523,NA,0,NA,0,0.0064,0.0093,34246,21009,1537,993,2070,544,74,1843,7825,181,21009
8,3075631.09897512,2124775.93046984,153249,0.0720709170542172,0.035974885615374,99605,1992,NA,0,NA,0,0.0073,0.0106,37309,22417,646,367,1333,279,35,689,3063,58,22417
9,2953034.95063757,2072162.67287168,79652,0.0383839669878841,0.019159723204502,66288,1326,NA,0,NA,0,0.0078,0.0111,38901,22958,372,195,721,177,24,353,1592,22,22958
10,2866270.71093952,2044013.51268018,39149,0.019084869960835,0.00952639486061806,38846,777,NA,0,NA,0,0.008,0.0113,39682,23057,185,100,345,85,14,181,781,9,23057
11,2801189.73999386,2028671.25593859,40940,0.0201171945934056,0.0100416895466385,43409,868,NA,0,NA,0,0.0083,0.0114,40499,23137,205,123,365,82,13,205,817,12,23137
12,2737141.17805725,2009933.71243643,128852,0.0640543179895995,0.0319733237349142,63366,1267,NA,0,NA,0,0.0088,0.012,43074,24138,620,329,1208,291,37,608,2575,44,24138
