"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8075003,0.0493603,0.6924207,0.8865763,"     ",""
"S g12 c1 a16 t5",0.912429,0.0282211,0.8390799,0.9541709,"     ",""
"S g12 c1 a20 t9",0.7307557,0.0842093,0.5398117,0.8626333,"     ",""
"S g14 c1 a25 t12",0.8483167,0.0386737,0.7562772,0.9097463,"     ",""
"S g18 c1 a25 t8",0.9554963,0.0167462,0.9084442,0.9789284,"     ",""
"S g22 c1 a25 t4",0.8963069,0.0269734,0.8303366,0.9385251,"     ",""
"S g62 c1 a73 t12",0.9669839,0.0244514,0.8671588,0.9924476,"     ",""
"S g66 c1 a73 t8",0.9911845,0.0052277,0.9720706,0.9972545,"     ",""
"S g70 c1 a73 t4",0.9783863,0.0157896,0.9128619,0.9949135,"     ",""
"r g18 c1 a25 t8",0.2550393,0.0940612,0.1148369,0.4746296,"     ",""
"r g66 c1 a73 t8",0.9998866,0.0509517,4.904303e-305,1,"     ",""
"R g12 c1 a12 t1",0.0228515,0.0050868,0.0147431,0.0352598,"     ",""
"R g12 c1 a16 t5",0.0350121,0.0072524,0.0232677,0.0523668,"     ",""
"R g12 c1 a20 t9",0.0129382,0.0035636,0.0075287,0.0221477,"     ",""
"R g14 c1 a25 t12",0.0156435,0.0029769,0.0107628,0.0226866,"     ",""
"R g18 c1 a25 t8",0.0421359,0.0039047,0.0351135,0.0504892,"     ",""
"R g22 c1 a25 t4",0.0275717,0.0036314,0.02128,0.0356557,"     ",""
"R g62 c1 a73 t12",0.0047312,0.001918,0.0021349,0.0104518,"     ",""
"R g66 c1 a73 t8",0.0129874,0.0049456,0.0061393,0.0272648,"     ",""
"R g70 c1 a73 t4",0.0084099,0.0033801,0.0038175,0.0184247,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
