"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8910053,0.0253182,0.8306263,0.9316318,"     ",""
"S g12 c1 a16 t5",0.9574838,0.0130782,0.9230656,0.9768898,"     ",""
"S g12 c1 a20 t9",0.7133319,0.053173,0.59916,0.8055385,"     ",""
"S g14 c1 a25 t12",0.764494,0.0287001,0.7037126,0.8160656,"     ",""
"S g18 c1 a25 t8",0.9670825,0.0089259,0.9443132,0.9807319,"     ",""
"S g22 c1 a25 t4",0.9142688,0.0132632,0.8844486,0.936942,"     ",""
"S g62 c1 a73 t12",0.8139444,0.0903937,0.5758902,0.9337497,"     ",""
"S g66 c1 a73 t8",0.9753651,0.0159858,0.9148746,0.9931907,"     ",""
"S g70 c1 a73 t4",0.9349463,0.037858,0.8092723,0.9798711,"     ",""
"r g18 c1 a25 t8",0.681875,0.1825522,0.2917182,0.9177271,"     ",""
"r g66 c1 a73 t8",0.3603859,0.2733318,0.0522614,0.8520084,"     ",""
"R g12 c1 a12 t1",0.032558,0.0043794,0.0249858,0.0423254,"     ",""
"R g12 c1 a16 t5",0.0481502,0.0059249,0.03778,0.0611858,"     ",""
"R g12 c1 a20 t9",0.0229871,0.0038809,0.0164919,0.0319573,"     ",""
"R g14 c1 a25 t12",0.0310238,0.0037508,0.024458,0.0392813,"     ",""
"R g18 c1 a25 t8",0.0644044,0.003284,0.0582595,0.0711485,"     ",""
"R g22 c1 a25 t4",0.0437909,0.0035413,0.0373516,0.0512811,"     ",""
"R g62 c1 a73 t12",0.0174651,0.0045701,0.0104368,0.029087,"     ",""
"R g66 c1 a73 t8",0.0368111,0.0087554,0.0230123,0.0583895,"     ",""
"R g70 c1 a73 t4",0.0247951,0.006184,0.0151684,0.0402817,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
