"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8515392,0.0302919,0.781953,0.9017096,"     ",""
"S g12 c1 a16 t5",0.9100453,0.021176,0.859021,0.9438104,"     ",""
"S g12 c1 a20 t9",0.598073,0.0599869,0.4770979,0.7081793,"     ",""
"S g14 c1 a25 t12",0.7902238,0.0289016,0.7280109,0.8413085,"     ",""
"S g18 c1 a25 t8",0.9624215,0.0093548,0.9391204,0.9770225,"     ",""
"S g22 c1 a25 t4",0.9355688,0.0116357,0.9086466,0.9549503,"     ",""
"S g62 c1 a73 t12",0.8430683,0.0816678,0.6157107,0.9474044,"     ",""
"S g66 c1 a73 t8",0.9733507,0.0172265,0.9085718,0.9926059,"     ",""
"S g70 c1 a73 t4",0.953934,0.0283492,0.8539695,0.9865463,"     ",""
"r g18 c1 a25 t8",0.5227718,0.1297787,0.2832434,0.7522652,"     ",""
"r g66 c1 a73 t8",0.3015988,0.2455002,0.0421239,0.809183,"     ",""
"R g12 c1 a12 t1",0.0297847,0.004611,0.0219612,0.0402804,"     ",""
"R g12 c1 a16 t5",0.0523681,0.0073155,0.0397494,0.0687062,"     ",""
"R g12 c1 a20 t9",0.0242713,0.0045257,0.0168163,0.0349141,"     ",""
"R g14 c1 a25 t12",0.0309597,0.0039303,0.0241179,0.0396635,"     ",""
"R g18 c1 a25 t8",0.0662732,0.0035967,0.0595625,0.0736807,"     ",""
"R g22 c1 a25 t4",0.0379333,0.0035303,0.0315887,0.0454923,"     ",""
"R g62 c1 a73 t12",0.0205082,0.0052521,0.0123866,0.0337727,"     ",""
"R g66 c1 a73 t8",0.0444471,0.0101917,0.0282412,0.0692894,"     ",""
"R g70 c1 a73 t4",0.0251888,0.0062285,0.0154737,0.040751,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
