"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1303,0,0,0,0,0.001,0.0016,5515,4009,157,75,325,82,11,1268,5515,20,4009
2,3654771.94918755,2498250.60739939,323026,0.129253367294227,0.0645180510234625,61247,1225,NA,0,NA,0,0.0023,0.0034,11974,8391,399,210,774,189,18,1542,6459,52,8391
3,3505034.77755607,2406341.14344842,106758,0.0443194499071432,0.0221224761126094,44701,894,NA,0,NA,0,0.0028,0.004,14107,9692,165,96,334,69,13,500,2133,9,9692
4,3549088.15539518,2414002.18727281,151300,0.0626314263710158,0.0312630738128393,86829,1737,NA,0,NA,0,0.0032,0.0048,17132,11526,288,140,567,148,15,728,3025,22,11526
5,3510166.0513951,2390908.83621479,209506,0.0875700411128721,0.0437114212102957,119947,2399,NA,0,NA,0,0.004,0.0058,21320,13942,551,282,908,269,25,980,4188,54,13942
6,3450598.81055066,2346343.91590904,260352,0.110908941206503,0.0553612557840029,138537,2771,NA,0,NA,0,0.0049,0.0072,26526,16903,767,410,1465,357,41,1205,5206,91,16903
7,3314758.67724373,2269496.0009156,392934,0.173083137986633,0.0863960990857792,226157,4523,NA,0,NA,0,0.0063,0.0093,34382,21028,1542,1020,2143,522,71,1883,7856,151,21028
8,3077676.71512256,2132123.25665548,153779,0.0720709170542172,0.035974885615374,99605,1992,NA,0,NA,0,0.0073,0.0105,37456,22413,653,337,1314,316,32,730,3074,46,22413
9,2957411.00688057,2079871.03167945,79947,0.0383839669878841,0.019159723204502,66288,1326,NA,0,NA,0,0.0077,0.011,39053,22901,391,212,730,179,33,386,1597,17,22901
10,2870587.20148517,2051643.69898096,39294,0.019084869960835,0.00952639486061806,38846,777,NA,0,NA,0,0.008,0.0112,39837,23002,185,102,350,83,7,183,784,6,23002
11,2805492.93281996,2036262.78985862,41091,0.0201171945934056,0.0100416895466385,43409,868,NA,0,NA,0,0.0082,0.0113,40657,23110,182,108,369,74,9,212,820,9,23110
12,2741405.77484223,2017470.75157592,129334,0.0640543179895995,0.0319733237349142,63366,1267,NA,0,NA,0,0.0088,0.0119,43241,24104,648,357,1278,291,50,596,2584,50,24104
