"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.9092215,0.0241227,0.8495828,0.9466977,"     ",""
"S g12 c1 a16 t5",0.9329865,0.0202674,0.8806017,0.9633447,"     ",""
"S g12 c1 a20 t9",0.7220638,0.0678977,0.5723889,0.8344969,"     ",""
"S g14 c1 a25 t12",0.7589933,0.0396328,0.6731586,0.8280444,"     ",""
"S g18 c1 a25 t8",0.9440618,0.0157757,0.9038221,0.9680606,"     ",""
"S g22 c1 a25 t4",0.9239041,0.0166033,0.8842942,0.95071,"     ",""
"S g62 c1 a73 t12",0.7950472,0.1780471,0.3130267,0.9706094,"     ",""
"S g66 c1 a73 t8",0.9541041,0.0486803,0.7017168,0.9945858,"     ",""
"S g70 c1 a73 t4",0.937325,0.0636626,0.6413115,0.9920695,"     ",""
"r g18 c1 a25 t8",0.3823601,0.1060009,0.2043558,0.5987366,"     ",""
"r g66 c1 a73 t8",0.1649309,0.1882854,0.0133677,0.7422085,"     ",""
"R g12 c1 a12 t1",0.0328381,0.005681,0.0233536,0.045993,"     ",""
"R g12 c1 a16 t5",0.0518982,0.0080068,0.0382681,0.0700294,"     ",""
"R g12 c1 a20 t9",0.0208489,0.0049054,0.0131207,0.032977,"     ",""
"R g14 c1 a25 t12",0.0291334,0.0053049,0.0203541,0.0415389,"     ",""
"R g18 c1 a25 t8",0.0716179,0.0053233,0.0618602,0.0827788,"     ",""
"R g22 c1 a25 t4",0.0456643,0.0051221,0.0366125,0.0568221,"     ",""
"R g62 c1 a73 t12",0.0169118,0.00716,0.007342,0.0384718,"     ",""
"R g66 c1 a73 t8",0.0423513,0.0154737,0.0205071,0.0854346,"     ",""
"R g70 c1 a73 t4",0.0266987,0.0101463,0.0126001,0.0556827,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
