"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a14 t1",0.8302803,0.0430013,0.7289902,0.8989602,"     ",""
"S g12 c1 a18 t5",0.9090025,0.0290705,0.8337837,0.9521362,"     ",""
"S g12 c1 a22 t9",0.574655,0.0852813,0.4054079,0.7280438,"     ",""
"S g12 c1 a25 t12",0.7760246,0.0343837,0.7015971,0.8362218,"     ",""
"S g16 c1 a25 t8",0.9624314,0.0123968,0.9289909,0.980455,"     ",""
"S g20 c1 a25 t4",0.9261769,0.0162148,0.8874123,0.9523119,"     ",""
"S g60 c1 a73 t12",0.8421718,0.0891608,0.5889733,0.9520852,"     ",""
"S g64 c1 a73 t8",0.9752803,0.0178852,0.9021268,0.9941134,"     ",""
"S g67 c1 a73 t4",0.9507912,0.0337559,0.8244987,0.9875722,"     ",""
"r g16 c1 a25 t8",0.5223713,0.1711811,0.2218001,0.80757,"     ",""
"r g64 c1 a73 t8",0.4564449,0.3938643,0.0360487,0.949638,"     ",""
"R g12 c1 a14 t1",0.0453831,0.009045,0.0306089,0.0667971,"     ",""
"R g12 c1 a18 t5",0.0641128,0.0121136,0.044085,0.0923599,"     ",""
"R g12 c1 a22 t9",0.0349663,0.0085709,0.0215494,0.0562564,"     ",""
"R g12 c1 a25 t12",0.0338107,0.0052678,0.0248764,0.045803,"     ",""
"R g16 c1 a25 t8",0.062056,0.004475,0.0538426,0.0714277,"     ",""
"R g20 c1 a25 t4",0.043899,0.0048928,0.0352482,0.0545527,"     ",""
"R g60 c1 a73 t12",0.0167482,0.0054601,0.0088151,0.0315932,"     ",""
"R g64 c1 a73 t8",0.0311999,0.0093712,0.017237,0.0558307,"     ",""
"R g67 c1 a73 t4",0.0218606,0.0069534,0.0116777,0.0405587,"     ",""
"p g12 c1 a15 t2",0,0,0,0,"Fixed",""
"r g12 c1 a14 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a14 t1",1,0,1,1,"Fixed",""
