"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1954,0,0,0,0,0.0016,0.0023,8270,5965,267,136,424,131,19,1927,8270,26,5965
2,3645473.21480505,2496038.02825763,322740,0.129253367294227,0.0645180510234625,61247,1837,NA,0,NA,0,0.0034,0.005,17947,12507,588,292,1170,296,48,2351,9677,87,12507
3,3452857.36660727,2393641.08852817,106195,0.0443194499071432,0.0221224761126094,44701,1341,NA,0,NA,0,0.0042,0.006,21130,14476,255,140,509,115,20,703,3183,21,14476
4,3516070.92949186,2404256.33856264,150689,0.0626314263710158,0.0312630738128393,86829,2605,NA,0,NA,0,0.0049,0.0072,25648,17263,445,224,858,221,38,1013,4518,41,17263
5,3483269.10626788,2381666.61545075,208698,0.0875700411128721,0.0437114212102957,119947,3598,NA,0,NA,0,0.006,0.0088,31905,20962,794,448,1429,346,61,1435,6257,70,20962
6,3385348.39014302,2327259.29775443,258236,0.110908941206503,0.0553612557840029,138537,4156,NA,0,NA,0,0.0075,0.0109,39649,25307,1164,618,2148,546,100,1852,7744,152,25307
7,3261950.59727773,2251526.39190423,389825,0.173083137986633,0.0863960990857792,226157,6785,NA,0,NA,0,0.0096,0.014,51341,31434,2317,1509,3167,808,164,2719,11692,278,31434
8,3040518.08534549,2116572.02499574,152658,0.0720709170542172,0.035974885615374,99605,2988,NA,0,NA,0,0.011,0.0158,55918,33387,1034,521,1900,513,82,1079,4577,97,33387
9,2917302.18396915,2062723.00013689,79290,0.0383839669878841,0.019159723204502,66288,1989,NA,0,NA,0,0.0117,0.0166,58294,34186,532,290,1058,242,59,543,2376,37,34186
10,2831743.97786144,2033789.83312208,38955,0.019084869960835,0.00952639486061806,38846,1165,NA,0,NA,0,0.0121,0.0169,59459,34277,285,153,568,132,30,282,1165,16,34277
11,2767655.69274282,2017673.28043532,40718,0.0201171945934056,0.0100416895466385,43409,1302,NA,0,NA,0,0.0124,0.0171,60677,34424,297,174,579,123,28,298,1218,13,34424
12,2704551.83589545,1998201.6454258,128099,0.0640543179895995,0.0319733237349142,63366,1901,NA,0,NA,0,0.0133,0.018,64517,35945,908,481,1773,427,75,919,3840,76,35945
