"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8381554,0.0297518,0.7711273,0.8883946,"     ",""
"S g12 c1 a16 t5",0.8943549,0.0252358,0.8337611,0.9345949,"     ",""
"S g12 c1 a20 t9",0.7063247,0.0477271,0.6050682,0.7906044,"     ",""
"S g14 c1 a25 t12",0.7773691,0.028879,0.7157224,0.8288443,"     ",""
"S g18 c1 a25 t8",0.9247576,0.0172725,0.883116,0.952364,"     ",""
"S g22 c1 a25 t4",0.8826084,0.0174779,0.8437947,0.9127747,"     ",""
"S g62 c1 a73 t12",0.7431752,0.1234399,0.4489124,0.9113428,"     ",""
"S g66 c1 a73 t8",0.9105977,0.0534678,0.7376276,0.9736154,"     ",""
"S g70 c1 a73 t4",0.8617027,0.0785564,0.6312291,0.9577716,"     ",""
"r g18 c1 a25 t8",0.0092239,0.0022138,0.0057575,0.0147464,"     ",""
"r g66 c1 a73 t8",0.0063387,0.0046728,0.001488,0.0265811,"     ",""
"R g12 c1 a12 t1",0.0013982,0.0002418823,0.0009960828,0.0019624,"     ",""
"R g12 c1 a16 t5",0.0019076,0.0003002465,0.0014012,0.0025967,"     ",""
"R g12 c1 a20 t9",0.0012055,0.0002276311,0.0008325125,0.0017452,"     ",""
"R g14 c1 a25 t12",0.0017279,0.000217719,0.0013497,0.0022118,"     ",""
"R g18 c1 a25 t8",0.0027336,0.0002073566,0.0023559,0.0031717,"     ",""
"R g22 c1 a25 t4",0.0020041,0.0002184079,0.0016185,0.0024812,"     ",""
"R g62 c1 a73 t12",0.0009223202,0.0003787298,0.0004123326,0.0020618,"     ",""
"R g66 c1 a73 t8",0.0014598,0.0005815828,0.0006683667,0.0031854,"     ",""
"R g70 c1 a73 t4",0.0010698,0.0004382424,0.0004792055,0.0023868,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
