"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a14 t1",0.9172566,0.0555351,0.7254138,0.9789547,"     ",""
"S g12 c1 a18 t5",0.945394,0.0103144,0.921279,0.962423,"     ",""
"S g12 c1 a22 t9",0.445402,0.1049675,0.2588139,0.6487638,"     ",""
"S g12 c1 a25 t12",0.7279535,0.0656214,0.582927,0.8366796,"     ",""
"S g16 c1 a25 t8",0.9829597,0.0032841,0.9751735,0.9883332,"     ",""
"S g20 c1 a25 t4",0.9736395,0.0176589,0.905563,0.9930202,"     ",""
"S g60 c1 a73 t12",0.4981852,0.3608141,0.0554054,0.9438299,"     ",""
"S g63 c1 a73 t8",0.9553603,0.0597597,0.5785896,0.9970114,"     ",""
"S g66 c1 a73 t4",0.9319889,0.0889606,0.4667546,0.9953604,"     ",""
"r g16 c1 a25 t8",1,0,1,1,"     ",""
"r g63 c1 a73 t8",1.167859e-14,0,1.167859e-14,1.167859e-14,"     ",""
"R g12 c1 a14 t1",0.0470786,0.0135767,0.0265744,0.0820696,"     ",""
"R g12 c1 a18 t5",0.0642263,0.0155312,0.0397167,0.1022506,"     ",""
"R g12 c1 a22 t9",0.0287623,0.010993,0.0135089,0.0601881,"     ",""
"R g12 c1 a25 t12",0.0296207,0.0083656,0.0169622,0.0512337,"     ",""
"R g16 c1 a25 t8",0.0660712,0.0065662,0.0543087,0.0801653,"     ",""
"R g20 c1 a25 t4",0.0484564,0.0080732,0.0348712,0.066967,"     ",""
"R g60 c1 a73 t12",0.0168758,0.0113228,0.0044851,0.0613863,"     ",""
"R g63 c1 a73 t8",0.0382611,0.0222765,0.011999,0.1152957,"     ",""
"R g66 c1 a73 t4",0.0278396,0.0169403,0.0083272,0.0889718,"     ",""
"p g12 c1 a15 t2",0,0,0,0,"Fixed",""
"r g12 c1 a14 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a14 t1",1,0,1,1,"Fixed",""
