"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8317582,0.069992,0.6497197,0.9294632,"     ",""
"S g12 c1 a16 t5",0.9595744,0.0300983,0.8383844,0.9908771,"     ",""
"S g12 c1 a20 t9",0.730072,0.1129127,0.468037,0.8926406,"     ",""
"S g13 c1 a25 t12",0.7958102,0.0487146,0.6841099,0.8752172,"     ",""
"S g17 c1 a25 t8",0.9715943,0.0189362,0.8991254,0.992439,"     ",""
"S g21 c1 a25 t4",0.8769072,0.0336431,0.7945493,0.9291928,"     ",""
"S g61 c1 a73 t12",0.8617118,0.2709401,0.0674334,0.9981412,"     ",""
"S g65 c1 a73 t8",0.9820424,0.0416991,0.3468551,0.9998225,"     ",""
"S g69 c1 a73 t4",0.9192896,0.1691684,0.1154654,0.9989948,"     ",""
"r g17 c1 a25 t8",0.4771573,0.3149397,0.0713771,0.9155107,"     ",""
"r g65 c1 a73 t8",1.402653e-07,0.0002356018,7.80251501252906e-316,1,"     ",""
"R g12 c1 a12 t1",0.0213817,0.0069342,0.0112827,0.0401531,"     ",""
"R g12 c1 a16 t5",0.0355364,0.0106601,0.0196346,0.063483,"     ",""
"R g12 c1 a20 t9",0.0151819,0.0059006,0.0070625,0.0323317,"     ",""
"R g13 c1 a25 t12",0.0177106,0.0043858,0.0108805,0.0287038,"     ",""
"R g17 c1 a25 t8",0.0413132,0.00484,0.0328025,0.0519135,"     ",""
"R g21 c1 a25 t4",0.024917,0.0047739,0.0170889,0.0361989,"     ",""
"R g61 c1 a73 t12",0.0111189,0.0073489,0.0030246,0.040005,"     ",""
"R g65 c1 a73 t8",0.0261709,0.0155758,0.0080465,0.0817554,"     ",""
"R g69 c1 a73 t4",0.015686,0.0097578,0.0045964,0.0521295,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
